Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,CoG_($),Microorganism
1739415910,0.77188036,1000000,3.75,0.097585346,0.700880328,B. thuringiensis (Batch)
1736291628,0.843007287,1000000,3.75,0.05960136,0.64779037,B. thuringiensis (Batch)
1746011541,0.907919821,1000000,3.75,0.072865803,0.596550744,B. thuringiensis (Batch)
1663886654,0.871468657,1000000,3.75,0.020617718,0.658969093,B. thuringiensis (Batch)
1734645230,0.919813172,1000000,3.75,0.067778889,0.593296443,B. thuringiensis (Batch)
1755972008,0.787072386,1000000,3.75,0.092023952,0.68162965,B. thuringiensis (Batch)
1782284182,0.748792062,1000000,3.75,0.089052691,0.706318557,B. thuringiensis (Batch)
1654876586,0.924026458,1000000,3.75,0.037975787,0.622731984,B. thuringiensis (Batch)
1821850191,0.828463572,1000000,3.75,0.035362747,0.631232924,B. thuringiensis (Batch)
1751815175,0.838040113,1000000,3.75,0.092030923,0.641692615,B. thuringiensis (Batch)
1696434441,0.825491732,1000000,3.75,0.080875723,0.674214981,B. thuringiensis (Batch)
1769950624,0.850008019,1000000,3.75,0.018916915,0.635333917,B. thuringiensis (Batch)
1756682842,0.820271003,1000000,3.75,0.111963808,0.65116972,B. thuringiensis (Batch)
1859669233,0.803484507,1000000,3.75,0.051736108,0.635555771,B. thuringiensis (Batch)
1771327844,0.831789862,1000000,3.75,0.079047617,0.641053206,B. thuringiensis (Batch)
1770439579,0.784000679,1000000,3.75,0.066302694,0.682200603,B. thuringiensis (Batch)
1720985147,0.846738057,1000000,3.75,0.019321625,0.655881465,B. thuringiensis (Batch)
1690841595,0.83582713,1000000,3.75,0.030765821,0.674762684,B. thuringiensis (Batch)
1920239325,0.830573258,1000000,3.75,0.012583225,0.600060317,B. thuringiensis (Batch)
1867034003,0.765173754,1000000,3.75,0.088196195,0.659934556,B. thuringiensis (Batch)
1682409211,0.817069834,1000000,3.75,0.078137237,0.6872183,B. thuringiensis (Batch)
1711023804,0.820252953,1000000,3.75,0.105891682,0.669376395,B. thuringiensis (Batch)
1715007555,0.89355223,1000000,3.75,0.091143427,0.614852934,B. thuringiensis (Batch)
1892500838,0.86555918,1000000,3.75,0.089131836,0.575438721,B. thuringiensis (Batch)
1738865597,0.757925543,1000000,3.75,0.089058864,0.715229973,B. thuringiensis (Batch)
1658329790,0.903764843,1000000,3.75,0.061458471,0.632414484,B. thuringiensis (Batch)
1843932408,0.848130682,1000000,3.75,0.076230786,0.604286509,B. thuringiensis (Batch)
1836461754,0.784660513,1000000,3.75,0.087596784,0.654337046,B. thuringiensis (Batch)
1684347865,0.866615422,1000000,3.75,0.141732059,0.638972728,B. thuringiensis (Batch)
1772912553,0.839945564,1000000,3.75,0.034565679,0.639890605,B. thuringiensis (Batch)
1839386585,0.805012846,1000000,3.75,0.073206618,0.638611413,B. thuringiensis (Batch)
1788369941,0.921000198,1000000,3.75,0.059480227,0.57568095,B. thuringiensis (Batch)
1725553681,0.813505349,1000000,3.75,0.096347664,0.670526656,B. thuringiensis (Batch)
1735651890,0.836574802,1000000,3.75,0.090295508,0.649028058,B. thuringiensis (Batch)
1883593249,0.83171241,1000000,3.75,0.083239453,0.602397208,B. thuringiensis (Batch)
1588392761,0.840791772,1000000,3.75,0.035612101,0.713358678,B. thuringiensis (Batch)
1758460306,0.835535337,1000000,3.75,0.052295749,0.646280799,B. thuringiensis (Batch)
