Hour,S.tenebrarius (C+),S.coelicolor (C-),CC101A,CC201A,CC201B,CC203A,CC203C,CC209B,CC209C,CC210B,CC213B,CC213C,CC224A,CC224D,CC224F,CC226B,CC226C,CC227B,CC227E,CC227F,CC227D,CC228B,CC227G,KL110A,KL110C,CC302R,CC303T,CC302I,CC307I ,CC307M,CC303U,KL102C,KL103A,KL104B,KL104C,KL106B,KL108A,KL108C,KL109B,KL110B,KL110D,KL111A,KL111B,KL111C,KL114A,KL115A,KL115B,KL116D,KL116E,KL118A,KL118B,KL122B,KL122C,TC101B,TC101C,TC101D,TC101E,TC101H,CR101A,MZ102A,MZ102B,MZ102C,MZ103A,MZ103B,MZ103C,HL101N,HL101P,HL101H,HL101C-67,HL101E,HL101J,CC201C,CC203B,CC208A,CC208B,CC209A,CC210A,CC211A,CC213A,CC213D,CC216A,CC216B,CC216C,CC219A,CC219B,CC219C,CC223A,CC224B,CC224C,CC224E,CC226D,CC227C,CC228A
3.33,8199,3916.75,3774,4709.5,4140.5,4870.5,5145,4732.5,5429,5592,5897,5660,4832,4525.5,3644.5,3553,4761,4629,4785,5118,4953.5,3378.5,7106,7831,3873.5,3984.5,4871.5,8753.5,3461.5,4093.5,3520.5,3111.5,3118.5,3391.5,3201,4330,3360.5,3406,3651,3243,3618.5,4818.5,3604,3649.5,4251.5,3350,3907.5,3231.5,12991,4565,4704.5,10231,4259,4958,5221,4395,4355,4147,12684,4906.5,4632,4734,5894.5,5369.5,4991,4769.5,5062,3863.5,4118,3928.5,3929,5666,4157.5,6036,4137,4725,4247.5,4324,10843,4193,4790.5,4252.5,4607.5,5568,4418.5,5394,4110.5,4091.5,5530.5,5677,11913.5,5526.5,5441
3.50,8154.75,3931.5,3588,4992,3965.5,4858,4909,4916.5,4795,5369.5,5667.5,5721.5,4954,4530,3530,3703.5,4598,4226.5,4691.5,4812,5069,3461.5,6911.5,8407,3851,4308.5,4879.5,7752.5,3517,4254,3583,3191,3147.5,3230,3292,4323,3266.5,3184.5,3493,3193.5,3491,4611,3559.5,3772,4154.5,3439.5,4129,3239.5,13012.5,4436,4670,11042.5,4306,4870,4998,4504,4230.5,4202,11769.5,4961.5,4665.5,4655.5,5945.5,5272.5,5076,4529.5,5125.5,3915.5,4084.5,3707,3892,5731.5,4330,6085.5,4244,4831.5,4432,4400,10373.5,4637,4909.5,4404.5,4442.5,5529,4355,5512,4126,4026.5,5524.5,5914,11974,5276.5,5572
3.67,8443.75,3935.5,3596,4784,3985.5,4783,4997,4906.5,4547.5,5610.5,5716,5765,4532.5,4400,3714.5,3561,4576.5,4283,4878,5095.5,5035,3559.5,7116.5,7994.5,3965,3967,4545.5,7778,3374,4043.5,3440,3017.5,3180.5,3347,3285,4420.5,3342.5,3219,3535,3220,3587,4687.5,3707,3851,4175,3296.5,4208,3178.5,12586.5,4525.5,4838.5,10046,4393.5,4913,4817,4559.5,4180,4225.5,11959.5,5166.5,4685.5,4586,5378.5,4905,4972,4687,5042,3940,4089.5,3733.5,3873,5951,4340.5,5976.5,4016.5,4774,4371.5,4317,10653.5,4301,4872,4382,4275,5579.5,4473.5,5272.5,3860,3903,5595,5801.5,11443.5,5306,5494
3.83,8705.5,3993.25,3728,4520.5,4211.5,4481,4774.5,4729,4808,5244,5848,5431,4847,4403.5,3850,3651,4432,4402.5,4836.5,4921,5039,3509.5,7505.5,8149,4182,3963,5059,7266,3505,4283,3797.5,3041,3150.5,3184,3233,4516.5,3235.5,3293.5,3476,3248.5,3497,4835,3324.5,3862.5,4170,3152,4152,3196.5,12968.5,4320,4573,10696,4332,4623,4722,4358.5,4293,4165.5,12028.5,5041.5,4771.5,4623.5,5836,5163.5,5029,4683.5,4862.5,3881,4149.5,3858.5,3848.5,5896,4157.5,5570.5,4093.5,4811,4194,4346.5,9706.5,4177.5,4872.5,4216,4378,5454,4744,5349,3827,4129,5669.5,6061,11860.5,5296,5450
4.00,8664,3876,3781,4572.5,4024,4272,4850,4643.5,4863,5201.5,5505.5,5631.5,4819,4267,3618,3745,4455,4284.5,4699.5,4781.5,4832,3627,7255,8091.5,3629.5,3953,4587.5,7728,3547,3956,3576.5,3156,3247.5,3138,3157.5,4473,3196,3223,3346,3130.5,3602,4721,3560,3848.5,3979,3133.5,4250.5,3161,12178.5,4420,4512,10325.5,4262.5,4920.5,4800.5,4439.5,4184,4033.5,11739,4832.5,5009.5,4740.5,5720,5235.5,5115.5,4547.5,4925.5,3891,4122,3691,3935.5,6047,4249,5565,4035,4962.5,4241.5,4450.5,9129,4380.5,4976,4467,4451.5,5827.5,4531,5355,3968.5,4257,5680,6114.5,11522.5,5219,5611.5
4.17,8633.25,3885,3720.5,4431.5,4282,4391,4903.5,4598,4659,5041,5343,5675.5,4856.5,4323,3868,3726,4342,4320,4819,4903.5,4749,3704.5,7379,7910,3859.5,4298.5,4426.5,7365.5,3530,4388,3457.5,3112.5,3184,3158,3305.5,4247.5,3195.5,3224.5,3437.5,3170.5,3550,5097,3453,3763,4027.5,3294.5,4336.5,3288.5,12019.5,4307.5,4911,11301.5,4251,4974,4675.5,4242.5,4098,4312,11274,5237.5,4913,5028.5,5850,5270,5187,4379,5197,4028,4105.5,3810,3865.5,6244,4428.5,5670.5,4238,4586,4098.5,4282.5,9676.5,4360.5,4752.5,4294,4346.5,5247,4149.5,5565,3930,3938,5799,6137,11916,5178,5628
4.33,8867.75,3853.75,3775,4570,4122.5,4351,4796.5,4290.5,4622,4990,5103.5,5294.5,4675,4300.5,3656.5,3678,4287,4304,4840,4525.5,4843.5,3721.5,7899,8213,4081,4093,4436,7132.5,3406,4239,3293,3201.5,3121.5,3175,3215.5,3982,3401.5,3241,3486,3224.5,3512,4907,3456,3679.5,3906,3197,4638,3146.5,11821,4305.5,4637,10624.5,4090,4827,4519.5,4293.5,4043.5,4305.5,10847.5,5269,5056.5,4977,5804,5318,5010.5,4539.5,4891,3847,4021,3788,3771,6315.5,4491,5500,4231.5,4353.5,4123.5,4236,9087.5,4104,5102.5,4247,4460.5,5317.5,4298,5016,3915.5,3961,5590,6793.5,12030,5360.5,5827
4.50,8899.5,3889,3813,4159,4065.5,4186,4707,4287,4683,5304,5381.5,5320,4637,4361.5,3846,3822,4357.5,4332,4637,4648.5,4634.5,3765.5,7808.5,8017.5,3889,4038,4599,6513.5,3480.5,4242.5,3494,3192,3033.5,3046.5,3163.5,4101.5,3192,3190.5,3360.5,2993,3578.5,4943,3416.5,3889.5,3930.5,3308.5,4289,3183.5,12423,4223,4775,10878.5,4047,4566.5,4786.5,4228,4265,4092,11576,5215,5102,5168,5928.5,5526.5,5351,4484,5079,3858.5,3961,3704,3840.5,6173.5,4194,5881.5,4187,4665.5,4277.5,4300.5,8929.5,4206,5152,4297.5,4116.5,5509,4469,5203.5,3943,3976.5,6088.5,6528.5,12190,5386.5,5438
4.67,9315,3875.5,3772,4245.5,4160,4403.5,4501,4348,4376.5,4913,5186,5450.5,4558,4344.5,3971,3798,4344.5,4284.5,4449.5,4433,4947.5,3609,7923,8841,3847.5,3910.5,4651.5,6828,3501.5,3826.5,3720.5,3158,3101.5,3100,3254,4197.5,3307.5,3233,3271,3133.5,3711.5,4915,3467.5,3711.5,4133.5,3154,4464,3082.5,11833,4372,4797,10722.5,4111.5,4886.5,4796,4288.5,4247.5,4246.5,11321,5151.5,5093,5039.5,5926.5,5347,5282.5,4380,5035.5,3841.5,3988,3542,3923.5,6309,4301,5411,4148.5,4494,4054,4404,8692.5,4332.5,4678,4281,4205,5562,4522.5,5273.5,3940.5,4097.5,6155.5,6820.5,12085,5547,5501.5
4.83,9475.75,3794,3847,4234,4143,4118,4566.5,4537.5,4389,5226.5,4882.5,5075.5,4635.5,4459,3900,3788.5,4164,4274.5,4507.5,4412,4758.5,3702,7784.5,8578,3873,4117,4369,6474.5,3516.5,3902.5,3528,2982.5,3190.5,3102.5,3165,4321,3249.5,3296.5,3276,3313.5,3602,5013.5,3525.5,3906.5,3998.5,3259,4415,3250.5,11197,4371,4806.5,10170.5,4206.5,4684,4537.5,4293,4118.5,4170,11794,5178,5099.5,5037.5,5886,5435,5233.5,4296.5,4906,4014,3893,3676.5,3756,6810,4445.5,5437.5,4339,4554.5,4192,4481,8170.5,4032.5,4934.5,4219.5,4104.5,5395,4786,5552.5,3906,4133.5,6464,7065.5,12805.5,5374,5886.5
5.00,9241.5,3601.5,3774.5,4273.5,4128,4163,4710.5,4458,4454.5,4866.5,4870,5264,4631,4255.5,3974.5,3782,4288.5,3990.5,4586.5,4473,4325.5,3648,8125.5,9482,3779,4095,4322.5,6098,3366.5,3960.5,3469,3101,3061.5,3054,3254.5,4207,3134.5,3144,3359.5,3203.5,3733.5,5425,3537.5,3869,3859,3226,4507.5,3260,12130,4215,4754.5,10066,4140,4536.5,4624,4115.5,4139,4157,11097,5328,5159,5164.5,6022.5,5435.5,5421,4498.5,4968,3774,4133,3611.5,3743.5,6755,4367.5,5223.5,4318,4286.5,4177.5,4398,7922.5,4353,4912,4265,4220.5,5604.5,4656.5,5388,3759,3964.5,6357.5,7512.5,12201,5645.5,5926
