#,Product_titer_(UFC/ml),Recovery_Yield_(%),Optimal_concentration_of_agent_(UFC/ml),Final_batch_duration_(days),Material_Discount,TOTAL_Production_cost_per_dosis,
113,11025403283,0.79582169,1000000,2.541666667,0.073508735,0.125445698,
114,12281455928,0.895399932,1000000,2.541666667,0.098888908,0.098651705,
115,14290906178,0.848761404,1000000,2.541666667,0.129093807,0.087884877,
116,14154652919,0.828195396,1000000,2.541666667,0.038854383,0.095737895,
117,14282175626,0.764615597,1000000,2.541666667,0.08648905,0.100050823,
118,11071100612,0.844394556,1000000,2.541666667,0.099698844,0.1159933,
119,12269319500,0.76369841,1000000,2.541666667,0.086105021,0.116630214,
120,12356562457,0.817375341,1000000,2.541666667,0.090479314,0.107931469,
121,10566912125,0.746217479,1000000,2.541666667,0.086724405,0.138543544,
122,10757070693,0.825610608,1000000,2.541666667,0.097679677,0.122237427,
123,12036658968,0.780982176,1000000,2.541666667,0.093272733,0.115777769,
124,9945897254,0.732385072,1000000,2.541666667,0.112322011,0.147781214,
125,12963413088,0.812015749,1000000,2.541666667,0.09902492,0.103051357,
126,12661629465,0.779332943,1000000,2.541666667,0.097481046,0.110029829,
127,9748095641,0.81534985,1000000,2.541666667,0.134548324,0.133692434,
128,12468386328,0.798517656,1000000,2.541666667,0.102721088,0.108722227,
129,10830193686,0.805379225,1000000,2.541666667,0.079827629,0.125739215,
130,12230536452,0.865051554,1000000,2.541666667,0.089918085,0.10306692,
131,12160519597,0.778711723,1000000,2.541666667,0.09589661,0.114759737,
132,14004358980,0.896500232,1000000,2.541666667,0.097475936,0.086479009,
133,12728355117,0.755575936,1000000,2.541666667,0.102378326,0.112576702,
134,9102029382,0.81758101,1000000,2.541666667,0.079986677,0.147366599,
135,12510985675,0.910065788,1000000,2.541666667,0.092386515,0.095637576,
136,14005744362,0.809671618,1000000,2.541666667,0.06681143,0.097430921,
137,12102234472,0.829446861,1000000,2.541666667,0.083582758,0.109024563,
138,10431450659,0.879966693,1000000,2.541666667,0.056347629,0.121076562,
139,12083879889,0.861232327,1000000,2.541666667,0.081985517,0.105256061,
140,12428778718,0.82401185,1000000,2.541666667,0.105509693,0.105524296,
141,12041681062,0.885150364,1000000,2.541666667,0.095758862,0.1019644,
142,11233385483,0.811312234,1000000,2.541666667,0.098523351,0.119059522,
143,10568224488,0.798786474,1000000,2.541666667,0.097828753,0.128588917,
144,12478069977,0.835473728,1000000,2.541666667,0.095817485,0.104245641,
145,12300759285,0.858424777,1000000,2.541666667,0.095999634,0.102910226,
146,14255345582,0.836378628,1000000,2.541666667,0.08051766,0.091950939,
147,12237998871,0.881217425,1000000,2.541666667,0.059307722,0.102885726,
148,11009754391,0.77069872,1000000,2.541666667,0.09914411,0.127833736,
149,12807374777,0.918471764,1000000,2.541666667,0.088326875,0.092784654,
150,10734368367,0.762047313,1000000,2.541666667,0.086095243,0.133597222,
151,9769393327,0.89073017,1000000,2.541666667,0.077778094,0.126182693,
152,13751718060,0.842829383,1000000,2.541666667,0.054085801,0.096012016,
153,9226368138,0.856210135,1000000,2.541666667,0.069172664,0.139675812,
154,11184790462,0.794673324,1000000,2.541666667,0.096794576,0.122201884,
155,14118871142,0.803162282,1000000,2.541666667,0.092145037,0.096039456,
156,12656643544,0.840030373,1000000,2.541666667,0.08842984,0.102650951,
157,13585837317,0.846078524,1000000,2.541666667,0.093425781,0.094675381,
158,12091556615,0.931455236,1000000,2.541666667,0.091505089,0.096731515,
159,13510001076,0.751421889,1000000,2.541666667,0.086491686,0.107626275,
160,11061565203,0.848854366,1000000,2.541666667,0.095497581,0.115762559,
161,14145418897,0.927407707,1000000,2.541666667,0.065418198,0.084288246,
162,12014018689,0.841964546,1000000,2.541666667,0.092021678,0.107671698,
163,12665373789,0.769144203,1000000,2.541666667,0.038589442,0.115226958,
164,13028898369,0.852613656,1000000,2.541666667,0.103709106,0.097388056,
165,9375012792,0.823146945,1000000,2.541666667,0.097583579,0.140685143,
166,13715669773,0.772287058,1000000,2.541666667,0.10433191,0.102097205,
167,10831613085,0.872397254,1000000,2.541666667,0.066587922,0.116938983,
168,10179125676,0.802962462,1000000,2.541666667,0.027525924,0.138177448,
169,12784880732,0.707887915,1000000,2.541666667,0.06242729,0.122384043,
170,13523225050,0.878195724,1000000,2.541666667,0.098368079,0.09137555,
171,12462502871,0.846601055,1000000,2.541666667,0.059637825,0.105143855,
172,12878720101,0.862000059,1000000,2.541666667,0.08864166,0.098297826,
173,13465554041,0.860604083,1000000,2.541666667,0.107481823,0.093151942,
174,12468203029,0.828857926,1000000,2.541666667,0.054745816,0.107640942,
175,10389746252,0.838486864,1000000,2.541666667,0.131266686,0.122209669,
176,10977530756,0.845996631,1000000,2.541666667,0.080702123,0.118036942,
177,10930726915,0.838420755,1000000,2.541666667,0.127141834,0.116451328,
178,12877634217,0.77972539,1000000,2.541666667,0.04824808,0.111189518,
179,12820570664,0.730937253,1000000,2.541666667,0.0928944,0.11616599,
180,14856138206,0.723043545,1000000,2.541666667,0.067211567,0.102835574,
181,10585272286,0.913461986,1000000,2.541666667,0.094446679,0.11248311,
182,12407460649,0.835513826,1000000,2.541666667,0.086325245,0.105405257,
183,13430918921,0.737210925,1000000,2.541666667,0.131767324,0.107493406,
184,13522127535,0.78821341,1000000,2.541666667,0.065251861,0.103754144,
185,10090279603,0.791542047,1000000,2.541666667,0.098573513,0.13585421,
186,10991513722,0.903967385,1000000,2.541666667,0.021861845,0.114022268,
187,12736825695,0.86359652,1000000,2.541666667,0.089260739,0.09917405,
188,13631723332,0.843580122,1000000,2.541666667,0.070612738,0.095874121,
189,10724004990,0.844511373,1000000,2.541666667,0.103430587,0.11947387,
